"RSN","WARD","WARDNAME","YEAR.BUILT","PROPERTY.TYPE","CONFIRMED.STOREYS","CONFIRMED.UNITS","CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE.CODE"
4153942,"12","Toronto-St. Paul's",1954,"PRIVATE",6,41,96,1
4250265,"11","University-Rosedale",1987,"SOCIAL HOUSING",3,45,76,2
4155787,"14","Toronto-Danforth",2001,"TCHC",11,167,94,3
4153394,"13","Toronto Centre",1980,"PRIVATE",8,60,98,1
4156748,"13","Toronto Centre",2009,"TCHC",13,180,89,3
4155766,"10","Spadina-Fort York",2005,"SOCIAL HOUSING",5,84,94,2
4153378,"10","Spadina-Fort York",1983,"TCHC",11,150,84,3
4153142,"10","Spadina-Fort York",1987,"SOCIAL HOUSING",3,50,82,2
4153334,"12","Toronto-St. Paul's",1993,"SOCIAL HOUSING",4,42,91,2
4167698,"13","Toronto Centre",1963,"PRIVATE",19,244,97,1
4167699,"13","Toronto Centre",1963,"PRIVATE",29,217,99,1
4167700,"13","Toronto Centre",1963,"PRIVATE",18,244,90,1
4153486,"13","Toronto Centre",1968,"PRIVATE",12,96,72,1
4156101,"12","Toronto-St. Paul's",1930,"PRIVATE",4,28,91,1
4156623,"12","Toronto-St. Paul's",1930,"PRIVATE",4,32,86,1
4153729,"11","University-Rosedale",1984,"TCHC",17,192,89,3
4153408,"10","Spadina-Fort York",1968,"TCHC",14,257,90,3
4264915,"11","University-Rosedale",1959,"PRIVATE",11,124,89,1
4153355,"12","Toronto-St. Paul's",1956,"PRIVATE",8,96,95,1
4153358,"12","Toronto-St. Paul's",1925,"PRIVATE",4,24,95,1
4167693,"12","Toronto-St. Paul's",1925,"PRIVATE",3,18,91,1
4170952,"12","Toronto-St. Paul's",1925,"PRIVATE",3,19,94,1
4153364,"12","Toronto-St. Paul's",1925,"PRIVATE",4,24,92,1
4153363,"12","Toronto-St. Paul's",1925,"PRIVATE",4,24,93,1
4153362,"12","Toronto-St. Paul's",1931,"PRIVATE",6,41,96,1
4153361,"12","Toronto-St. Paul's",1931,"PRIVATE",6,51,94,1
4153360,"12","Toronto-St. Paul's",1937,"PRIVATE",6,39,91,1
4153366,"12","Toronto-St. Paul's",1926,"PRIVATE",4,40,91,1
4153356,"12","Toronto-St. Paul's",1965,"PRIVATE",8,47,92,1
4153887,"12","Toronto-St. Paul's",1957,"PRIVATE",13,118,88,1
4153886,"12","Toronto-St. Paul's",1956,"PRIVATE",13,118,92,1
4153883,"12","Toronto-St. Paul's",1957,"PRIVATE",14,60,96,1
4153884,"12","Toronto-St. Paul's",1952,"PRIVATE",12,63,86,1
4153885,"12","Toronto-St. Paul's",1955,"PRIVATE",11,63,78,1
4153910,"12","Toronto-St. Paul's",1955,"PRIVATE",11,57,93,1
4153911,"12","Toronto-St. Paul's",1956,"PRIVATE",3,22,88,1
4153909,"12","Toronto-St. Paul's",1955,"PRIVATE",11,62,93,1
4153937,"12","Toronto-St. Paul's",1952,"PRIVATE",4,41,91,1
4153995,"12","Toronto-St. Paul's",1948,"PRIVATE",3,10,94,1
4233268,"12","Toronto-St. Paul's",1951,"PRIVATE",3,10,89,1
4153996,"12","Toronto-St. Paul's",1952,"PRIVATE",4,10,85,1
4153997,"12","Toronto-St. Paul's",1950,"PRIVATE",3,10,85,1
4153998,"12","Toronto-St. Paul's",1960,"PRIVATE",3,10,87,1
4153999,"12","Toronto-St. Paul's",1960,"PRIVATE",3,10,87,1
4154000,"12","Toronto-St. Paul's",1960,"PRIVATE",3,10,90,1
4154005,"12","Toronto-St. Paul's",1965,"PRIVATE",4,40,90,1
4408652,"11","University-Rosedale",1927,"PRIVATE",3,17,77,1
4153770,"12","Toronto-St. Paul's",1957,"PRIVATE",4,30,65,1
4153762,"12","Toronto-St. Paul's",1966,"PRIVATE",18,263,100,1
4244920,"12","Toronto-St. Paul's",2017,"PRIVATE",30,342,100,1
4153763,"12","Toronto-St. Paul's",1965,"PRIVATE",18,286,97,1
4153764,"12","Toronto-St. Paul's",1968,"PRIVATE",4,48,92,1
4153772,"12","Toronto-St. Paul's",1968,"PRIVATE",23,366,99,1
4153758,"12","Toronto-St. Paul's",1968,"PRIVATE",17,272,89,1
4153759,"12","Toronto-St. Paul's",1968,"PRIVATE",27,202,88,1
4245700,"12","Toronto-St. Paul's",1930,"PRIVATE",3,28,91,1
4245702,"12","Toronto-St. Paul's",1930,"PRIVATE",3,27,93,1
4153374,"12","Toronto-St. Paul's",1965,"PRIVATE",12,89,92,1
4155023,"12","Toronto-St. Paul's",1954,"PRIVATE",4,19,89,1
5368007,"09","Davenport",1905,"TCHC",3,13,74,3
4153183,"11","University-Rosedale",1919,"PRIVATE",4,18,72,1
4153184,"11","University-Rosedale",1929,"PRIVATE",4,24,93,1
4154110,"14","Toronto-Danforth",1927,"PRIVATE",4,50,97,1
4154108,"14","Toronto-Danforth",1960,"PRIVATE",3,34,77,1
5046735,"10","Spadina-Fort York",1918,"PRIVATE",6,47,76,1
5367998,"11","University-Rosedale",1930,"PRIVATE",3,18,83,1
4288751,"12","Toronto-St. Paul's",1918,"PRIVATE",3,30,90,1
4153345,"12","Toronto-St. Paul's",1993,"TCHC",5,113,92,3
4153343,"12","Toronto-St. Paul's",1916,"SOCIAL HOUSING",4,15,79,2
4154955,"12","Toronto-St. Paul's",1965,"PRIVATE",14,119,95,1
4154954,"12","Toronto-St. Paul's",1933,"PRIVATE",4,24,83,1
4154953,"12","Toronto-St. Paul's",1959,"PRIVATE",6,42,93,1
4154952,"12","Toronto-St. Paul's",1932,"PRIVATE",4,24,92,1
4154951,"12","Toronto-St. Paul's",1932,"PRIVATE",4,24,84,1
4154934,"12","Toronto-St. Paul's",1943,"PRIVATE",4,32,83,1
4154935,"12","Toronto-St. Paul's",1943,"PRIVATE",4,32,95,1
4250612,"12","Toronto-St. Paul's",1943,"PRIVATE",4,32,91,1
4153892,"12","Toronto-St. Paul's",1965,"PRIVATE",5,56,96,1
4154950,"12","Toronto-St. Paul's",1940,"PRIVATE",5,25,80,1
4154949,"12","Toronto-St. Paul's",1926,"PRIVATE",4,36,90,1
4154948,"12","Toronto-St. Paul's",1926,"PRIVATE",4,36,88,1
4154947,"12","Toronto-St. Paul's",1926,"PRIVATE",4,36,89,1
4154946,"12","Toronto-St. Paul's",1926,"PRIVATE",4,36,87,1
4155001,"12","Toronto-St. Paul's",1951,"PRIVATE",7,75,84,1
4155003,"12","Toronto-St. Paul's",1949,"PRIVATE",4,39,64,1
4154945,"12","Toronto-St. Paul's",1940,"PRIVATE",4,24,92,1
4154944,"12","Toronto-St. Paul's",1940,"PRIVATE",4,24,89,1
4156362,"12","Toronto-St. Paul's",1950,"PRIVATE",3,33,73,1
4154994,"12","Toronto-St. Paul's",1955,"PRIVATE",4,35,85,1
4154993,"12","Toronto-St. Paul's",1948,"PRIVATE",3,22,88,1
4154992,"12","Toronto-St. Paul's",1960,"PRIVATE",5,62,92,1
4154991,"12","Toronto-St. Paul's",1939,"PRIVATE",4,34,86,1
4154990,"12","Toronto-St. Paul's",1923,"PRIVATE",4,32,90,1
4153893,"12","Toronto-St. Paul's",1954,"PRIVATE",6,73,83,1
4154997,"12","Toronto-St. Paul's",1930,"PRIVATE",3,25,96,1
4155000,"12","Toronto-St. Paul's",1950,"PRIVATE",4,39,83,1
4154999,"12","Toronto-St. Paul's",1950,"PRIVATE",5,72,93,1
4154998,"12","Toronto-St. Paul's",1941,"PRIVATE",3,52,86,1
5355262,"12","Toronto-St. Paul's",1953,"PRIVATE",3,15,83,1
5386216,"12","Toronto-St. Paul's",1937,"PRIVATE",3,10,58,1
4171374,"10","Spadina-Fort York",2013,"PRIVATE",29,463,95,1
4244973,"13","Toronto Centre",2005,"PRIVATE",33,293,98,1
4156567,"13","Toronto Centre",1979,"PRIVATE",28,265,93,1
4153145,"09","Davenport",1932,"PRIVATE",4,11,90,1
4153199,"11","University-Rosedale",2004,"PRIVATE",8,62,86,1
4153417,"11","University-Rosedale",1885,"SOCIAL HOUSING",3,28,92,2
4153418,"11","University-Rosedale",1988,"PRIVATE",4,16,69,1
4264094,"13","Toronto Centre",2013,"PRIVATE",10,177,99,1
4153234,"11","University-Rosedale",1966,"PRIVATE",11,82,94,1
4153120,"10","Spadina-Fort York",1987,"TCHC",10,119,82,3
4156182,"14","Toronto-Danforth",1969,"TCHC",14,190,97,3
4153585,"13","Toronto Centre",1980,"TCHC",14,260,91,3
4155834,"13","Toronto Centre",1969,"TCHC",21,301,85,3
4156118,"13","Toronto Centre",1969,"TCHC",24,327,94,3
4156038,"13","Toronto Centre",1969,"TCHC",24,327,77,3
4270170,"11","University-Rosedale",1972,"PRIVATE",25,336,78,1
4155820,"11","University-Rosedale",1979,"PRIVATE",28,479,88,1
4153603,"13","Toronto Centre",1948,"PRIVATE",6,41,98,1
4242011,"11","University-Rosedale",1963,"PRIVATE",14,157,85,1
4153178,"11","University-Rosedale",1919,"PRIVATE",3,24,55,1
4153469,"11","University-Rosedale",1980,"TCHC",18,326,93,3
4221312,"11","University-Rosedale",1970,"PRIVATE",16,170,82,1
4153170,"11","University-Rosedale",1920,"PRIVATE",3,12,89,1
4153169,"11","University-Rosedale",1920,"PRIVATE",4,16,90,1
4250262,"11","University-Rosedale",1989,"SOCIAL HOUSING",4,24,83,2
4153165,"09","Davenport",1928,"PRIVATE",3,26,58,1
4153161,"09","Davenport",1926,"PRIVATE",4,11,75,1
4379646,"09","Davenport",1923,"PRIVATE",3,16,72,1
4166900,"10","Spadina-Fort York",1987,"PRIVATE",21,289,99,1
4153124,"10","Spadina-Fort York",1988,"TCHC",6,106,80,3
4167451,"10","Spadina-Fort York",1990,"TCHC",7,73,82,3
4154936,"12","Toronto-St. Paul's",1930,"PRIVATE",4,16,90,1
4154937,"12","Toronto-St. Paul's",1930,"PRIVATE",3,12,87,1
4154938,"12","Toronto-St. Paul's",1967,"PRIVATE",9,101,85,1
4154963,"12","Toronto-St. Paul's",1960,"PRIVATE",7,61,85,1
4154962,"12","Toronto-St. Paul's",1928,"PRIVATE",4,32,68,1
4154961,"12","Toronto-St. Paul's",1960,"PRIVATE",4,16,96,1
4154960,"12","Toronto-St. Paul's",1967,"PRIVATE",13,230,84,1
4154939,"12","Toronto-St. Paul's",1965,"PRIVATE",6,34,93,1
4154940,"12","Toronto-St. Paul's",1967,"PRIVATE",23,175,86,1
4154981,"12","Toronto-St. Paul's",1963,"PRIVATE",9,175,89,1
4152925,"09","Davenport",1994,"TCHC",6,95,92,3
4285976,"09","Davenport",1992,"TCHC",9,176,94,3
4152924,"09","Davenport",1992,"TCHC",7,121,92,3
4153890,"12","Toronto-St. Paul's",1959,"PRIVATE",4,49,86,1
4153891,"12","Toronto-St. Paul's",1960,"PRIVATE",5,49,94,1
4153341,"12","Toronto-St. Paul's",1920,"PRIVATE",3,10,79,1
4153340,"12","Toronto-St. Paul's",1920,"PRIVATE",4,15,89,1
4153342,"12","Toronto-St. Paul's",1969,"PRIVATE",24,168,100,1
4153344,"12","Toronto-St. Paul's",1930,"SOCIAL HOUSING",4,19,69,2
4817599,"12","Toronto-St. Paul's",1900,"PRIVATE",3,15,97,1
4153348,"12","Toronto-St. Paul's",1920,"PRIVATE",3,16,91,1
4153347,"12","Toronto-St. Paul's",1989,"PRIVATE",3,14,89,1
5355064,"12","Toronto-St. Paul's",1956,"PRIVATE",3,12,88,1
4153349,"12","Toronto-St. Paul's",1982,"SOCIAL HOUSING",7,130,88,2
4153350,"12","Toronto-St. Paul's",1986,"SOCIAL HOUSING",8,97,94,2
4153351,"12","Toronto-St. Paul's",1921,"PRIVATE",3,16,94,1
4153354,"12","Toronto-St. Paul's",1929,"PRIVATE",3,19,71,1
4620278,"09","Davenport",1929,"PRIVATE",3,18,85,1
4153114,"09","Davenport",1957,"PRIVATE",3,16,76,1
4153113,"09","Davenport",1930,"PRIVATE",4,23,88,1
4153112,"09","Davenport",1930,"PRIVATE",4,24,89,1
4153111,"09","Davenport",1930,"PRIVATE",4,24,75,1
4153110,"09","Davenport",1929,"PRIVATE",4,23,76,1
4155906,"09","Davenport",1940,"PRIVATE",4,11,68,1
4153116,"09","Davenport",1951,"PRIVATE",3,11,51,1
4153102,"09","Davenport",1974,"PRIVATE",18,275,81,1
4153494,"13","Toronto Centre",1927,"PRIVATE",4,45,95,1
4153493,"13","Toronto Centre",1928,"PRIVATE",4,47,96,1
4153492,"13","Toronto Centre",1928,"PRIVATE",4,45,89,1
4153501,"13","Toronto Centre",1965,"PRIVATE",18,102,98,1
4415833,"13","Toronto Centre",1928,"PRIVATE",3,24,89,1
4153914,"12","Toronto-St. Paul's",1920,"PRIVATE",4,35,91,1
4153913,"12","Toronto-St. Paul's",1982,"PRIVATE",11,60,94,1
4153912,"12","Toronto-St. Paul's",1920,"PRIVATE",4,36,76,1
4153625,"14","Toronto-Danforth",1996,"SOCIAL HOUSING",4,29,97,2
4153463,"11","University-Rosedale",1900,"PRIVATE",4,17,69,1
4153208,"11","University-Rosedale",1960,"PRIVATE",12,130,81,1
4153209,"11","University-Rosedale",1968,"PRIVATE",7,48,80,1
4153210,"11","University-Rosedale",1952,"PRIVATE",7,48,87,1
4153211,"11","University-Rosedale",1962,"PRIVATE",7,48,83,1
4153223,"11","University-Rosedale",1960,"PRIVATE",7,62,94,1
4153224,"11","University-Rosedale",1956,"PRIVATE",9,52,90,1
4153225,"11","University-Rosedale",1964,"PRIVATE",8,58,80,1
4153226,"11","University-Rosedale",1967,"PRIVATE",10,105,78,1
4153222,"11","University-Rosedale",1968,"PRIVATE",11,105,63,1
4153221,"11","University-Rosedale",1957,"PRIVATE",8,68,91,1
4153220,"11","University-Rosedale",1955,"PRIVATE",9,91,78,1
4153219,"11","University-Rosedale",1969,"PRIVATE",11,64,87,1
4153232,"11","University-Rosedale",1958,"PRIVATE",10,63,86,1
4153237,"11","University-Rosedale",1965,"PRIVATE",9,88,86,1
4153233,"11","University-Rosedale",1971,"PRIVATE",10,74,76,1
4153236,"11","University-Rosedale",1967,"PRIVATE",15,85,88,1
4153518,"13","Toronto Centre",1927,"PRIVATE",4,37,93,1
4153515,"13","Toronto Centre",1994,"TCHC",5,35,84,3
4153519,"13","Toronto Centre",1920,"PRIVATE",6,65,86,1
4286252,"13","Toronto Centre",1980,"TCHC",4,50,95,3
4153537,"13","Toronto Centre",1965,"PRIVATE",25,260,92,1
4153399,"10","Spadina-Fort York",1982,"PRIVATE",14,256,82,1
4286259,"10","Spadina-Fort York",1980,"TCHC",12,54,92,3
4885483,"11","University-Rosedale",2017,"PRIVATE",26,248,100,1
4233328,"11","University-Rosedale",1926,"PRIVATE",4,16,91,1
4156598,"09","Davenport",2011,"SOCIAL HOUSING",18,190,82,2
4153404,"10","Spadina-Fort York",1923,"TCHC",3,17,83,3
4167680,"13","Toronto Centre",2006,"TCHC",3,47,81,3
4167687,"13","Toronto Centre",1948,"TCHC",3,48,81,3
4153733,"11","University-Rosedale",1950,"PRIVATE",3,19,91,1
4272882,"11","University-Rosedale",1952,"PRIVATE",3,17,87,1
4287729,"11","University-Rosedale",1952,"PRIVATE",3,17,85,1
4153605,"14","Toronto-Danforth",1931,"PRIVATE",4,54,99,1
4153300,"12","Toronto-St. Paul's",1992,"SOCIAL HOUSING",5,59,94,2
4155866,"14","Toronto-Danforth",2008,"TCHC",4,56,98,3
4153992,"12","Toronto-St. Paul's",1928,"PRIVATE",3,29,96,1
4153989,"12","Toronto-St. Paul's",1940,"PRIVATE",3,33,91,1
4153402,"10","Spadina-Fort York",1991,"TCHC",11,139,91,3
4153403,"10","Spadina-Fort York",1966,"PRIVATE",24,284,84,1
4153659,"14","Toronto-Danforth",1974,"TCHC",14,350,95,3
4153381,"10","Spadina-Fort York",1983,"TCHC",12,166,91,3
4153382,"10","Spadina-Fort York",1997,"SOCIAL HOUSING",7,128,87,2
4153389,"13","Toronto Centre",1993,"SOCIAL HOUSING",9,205,96,2
4155800,"13","Toronto Centre",1993,"TCHC",7,102,89,3
4167459,"13","Toronto Centre",2006,"TCHC",7,220,90,3
4154967,"12","Toronto-St. Paul's",1950,"PRIVATE",4,31,90,1
4153335,"12","Toronto-St. Paul's",1980,"TCHC",5,37,85,3
4153753,"12","Toronto-St. Paul's",1980,"TCHC",10,167,85,3
4153761,"12","Toronto-St. Paul's",1999,"PRIVATE",5,38,96,1
4286300,"13","Toronto Centre",2005,"SOCIAL HOUSING",3,30,95,2
4156549,"12","Toronto-St. Paul's",1965,"PRIVATE",16,186,90,1
4257267,"12","Toronto-St. Paul's",1969,"PRIVATE",14,93,81,1
4153784,"12","Toronto-St. Paul's",1955,"PRIVATE",4,31,99,1
4153815,"12","Toronto-St. Paul's",1965,"PRIVATE",17,148,81,1
4153109,"09","Davenport",1955,"PRIVATE",8,104,99,1
4156036,"14","Toronto-Danforth",1996,"SOCIAL HOUSING",4,80,90,2
4153396,"13","Toronto Centre",1990,"TCHC",8,50,80,3
4153379,"10","Spadina-Fort York",2003,"PRIVATE",10,103,81,1
4153140,"10","Spadina-Fort York",1970,"PRIVATE",13,525,95,1
4153905,"12","Toronto-St. Paul's",1962,"PRIVATE",3,32,78,1
4286254,"13","Toronto Centre",2014,"TCHC",8,128,97,3
4890985,"10","Spadina-Fort York",2019,"PRIVATE",35,506,94,1
4153897,"12","Toronto-St. Paul's",1960,"PRIVATE",6,54,94,1
4153896,"12","Toronto-St. Paul's",1970,"PRIVATE",6,60,89,1
4153168,"11","University-Rosedale",1930,"PRIVATE",3,24,84,1
4154084,"14","Toronto-Danforth",1957,"PRIVATE",4,42,90,1
5364567,"14","Toronto-Danforth",1965,"PRIVATE",3,12,74,1
4153752,"11","University-Rosedale",1960,"PRIVATE",3,25,82,1
4153760,"12","Toronto-St. Paul's",1993,"TCHC",8,155,87,3
4153777,"12","Toronto-St. Paul's",1955,"PRIVATE",3,23,79,1
4167463,"13","Toronto Centre",2006,"TCHC",3,54,83,3
4153578,"13","Toronto Centre",1961,"TCHC",3,25,96,3
4155009,"09","Davenport",1950,"PRIVATE",3,20,75,1
4654253,"12","Toronto-St. Paul's",2019,"PRIVATE",36,466,93,1
4155064,"09","Davenport",1960,"PRIVATE",3,17,86,1
4153820,"12","Toronto-St. Paul's",1968,"PRIVATE",19,145,96,1
4408389,"09","Davenport",1913,"PRIVATE",3,12,72,1
4153414,"11","University-Rosedale",1961,"TCHC",6,86,81,3
4153422,"13","Toronto Centre",1983,"TCHC",11,97,87,3
4153430,"13","Toronto Centre",1918,"SOCIAL HOUSING",4,20,82,2
4774556,"13","Toronto Centre",1989,"PRIVATE",3,40,73,1
4153454,"13","Toronto Centre",1985,"TCHC",15,145,90,3
4153455,"13","Toronto Centre",1991,"SOCIAL HOUSING",10,42,76,2
4153798,"12","Toronto-St. Paul's",1928,"PRIVATE",4,56,88,1
4153799,"12","Toronto-St. Paul's",1989,"PRIVATE",11,81,85,1
4153826,"12","Toronto-St. Paul's",1961,"PRIVATE",14,211,88,1
4153800,"12","Toronto-St. Paul's",1973,"PRIVATE",20,129,98,1
4153802,"12","Toronto-St. Paul's",1963,"PRIVATE",12,125,91,1
4153822,"12","Toronto-St. Paul's",1964,"PRIVATE",13,228,90,1
4153803,"12","Toronto-St. Paul's",1964,"PRIVATE",15,83,95,1
4153821,"12","Toronto-St. Paul's",1963,"PRIVATE",11,91,96,1
4153602,"13","Toronto Centre",1964,"PRIVATE",15,239,91,1
4156004,"09","Davenport",1945,"PRIVATE",4,26,66,1
4156744,"09","Davenport",1945,"PRIVATE",4,26,81,1
4253806,"11","University-Rosedale",1956,"PRIVATE",4,25,89,1
4166996,"11","University-Rosedale",1955,"PRIVATE",9,99,93,1
4154933,"12","Toronto-St. Paul's",1938,"PRIVATE",4,32,83,1
4250596,"12","Toronto-St. Paul's",1938,"PRIVATE",4,32,94,1
4154931,"12","Toronto-St. Paul's",1956,"PRIVATE",12,117,89,1
4250600,"12","Toronto-St. Paul's",1938,"PRIVATE",4,32,81,1
4250602,"12","Toronto-St. Paul's",1938,"PRIVATE",4,32,93,1
4233307,"12","Toronto-St. Paul's",1986,"SOCIAL HOUSING",15,174,85,2
4484430,"14","Toronto-Danforth",1954,"PRIVATE",3,28,90,1
4154104,"14","Toronto-Danforth",1950,"PRIVATE",3,17,99,1
4830483,"10","Spadina-Fort York",2019,"PRIVATE",18,501,98,1
5118732,"13","Toronto Centre",2021,"PRIVATE",29,346,100,1
4255529,"09","Davenport",1910,"PRIVATE",3,10,82,1
4155013,"09","Davenport",1930,"PRIVATE",4,46,68,1
4156003,"12","Toronto-St. Paul's",1969,"PRIVATE",28,216,92,1
4153745,"12","Toronto-St. Paul's",1969,"PRIVATE",23,245,91,1
4244932,"12","Toronto-St. Paul's",2015,"PRIVATE",30,251,99,1
4244947,"12","Toronto-St. Paul's",2014,"PRIVATE",30,336,97,1
4153622,"14","Toronto-Danforth",1921,"PRIVATE",3,13,81,1
4155028,"12","Toronto-St. Paul's",1968,"PRIVATE",9,68,91,1
4155038,"12","Toronto-St. Paul's",1968,"PRIVATE",11,86,81,1
4155741,"12","Toronto-St. Paul's",2003,"TCHC",7,54,98,3
4155033,"12","Toronto-St. Paul's",1960,"PRIVATE",6,54,89,1
5382870,"11","University-Rosedale",1920,"PRIVATE",4,14,95,1
4153656,"14","Toronto-Danforth",1985,"SOCIAL HOUSING",6,98,89,2
4156601,"13","Toronto Centre",2010,"TCHC",10,84,95,3
4156726,"13","Toronto Centre",2012,"SOCIAL HOUSING",4,87,80,2
4153571,"13","Toronto Centre",1969,"PRIVATE",17,260,54,1
4155602,"13","Toronto Centre",1972,"TCHC",27,469,87,3
4155664,"13","Toronto Centre",1972,"PRIVATE",23,327,81,1
4155008,"09","Davenport",1968,"PRIVATE",19,151,82,1
5365276,"09","Davenport",1929,"PRIVATE",4,24,55,1
4155036,"12","Toronto-St. Paul's",1960,"PRIVATE",4,24,91,1
4153944,"12","Toronto-St. Paul's",1950,"PRIVATE",3,28,90,1
4229124,"09","Davenport",1955,"PRIVATE",4,29,91,1
4153155,"09","Davenport",1955,"PRIVATE",4,22,96,1
4153154,"09","Davenport",1940,"PRIVATE",3,11,82,1
4153164,"09","Davenport",1968,"PRIVATE",20,226,92,1
4156290,"09","Davenport",1969,"PRIVATE",16,267,83,1
4153367,"12","Toronto-St. Paul's",1957,"PRIVATE",4,18,92,1
4153369,"12","Toronto-St. Paul's",1959,"PRIVATE",4,18,99,1
4153370,"12","Toronto-St. Paul's",1960,"PRIVATE",7,52,91,1
4153941,"12","Toronto-St. Paul's",1937,"PRIVATE",5,32,90,1
4153940,"12","Toronto-St. Paul's",1954,"PRIVATE",5,32,93,1
4153567,"13","Toronto Centre",1985,"TCHC",3,20,80,3
4156772,"13","Toronto Centre",2015,"TCHC",9,83,96,3
4156706,"13","Toronto Centre",2013,"TCHC",10,155,92,3
4155823,"13","Toronto Centre",2009,"TCHC",8,61,91,3
4285984,"13","Toronto Centre",2009,"TCHC",22,159,91,3
4153655,"14","Toronto-Danforth",1983,"SOCIAL HOUSING",8,174,88,2
4274213,"10","Spadina-Fort York",1986,"TCHC",8,135,90,3
4156298,"10","Spadina-Fort York",1969,"TCHC",6,40,69,3
5365981,"12","Toronto-St. Paul's",1960,"PRIVATE",3,16,85,1
4320792,"12","Toronto-St. Paul's",1975,"PRIVATE",23,173,97,1
4169241,"12","Toronto-St. Paul's",1928,"PRIVATE",3,15,88,1
4154966,"12","Toronto-St. Paul's",1963,"PRIVATE",4,40,87,1
4166819,"12","Toronto-St. Paul's",1991,"SOCIAL HOUSING",11,106,96,2
4154965,"12","Toronto-St. Paul's",1940,"PRIVATE",4,33,93,1
4154956,"12","Toronto-St. Paul's",1920,"PRIVATE",4,32,88,1
5156053,"12","Toronto-St. Paul's",2018,"PRIVATE",9,51,97,1
4154957,"12","Toronto-St. Paul's",1947,"PRIVATE",3,12,79,1
4154964,"12","Toronto-St. Paul's",1929,"PRIVATE",4,32,92,1
4154971,"12","Toronto-St. Paul's",1929,"PRIVATE",3,24,96,1
4154958,"12","Toronto-St. Paul's",1950,"PRIVATE",4,32,83,1
4154970,"12","Toronto-St. Paul's",1977,"TCHC",9,99,91,3
4153336,"12","Toronto-St. Paul's",1983,"TCHC",5,64,94,3
4153734,"11","University-Rosedale",1969,"PRIVATE",4,36,80,1
4153078,"09","Davenport",1932,"PRIVATE",5,35,26,1
4153099,"09","Davenport",1985,"PRIVATE",3,30,75,1
4155734,"09","Davenport",1992,"PRIVATE",4,138,95,1
4153101,"09","Davenport",2003,"SOCIAL HOUSING",3,20,98,2
4153103,"09","Davenport",1973,"PRIVATE",21,352,76,1
4153947,"12","Toronto-St. Paul's",1967,"PRIVATE",6,42,82,1
4153565,"13","Toronto Centre",2005,"SOCIAL HOUSING",8,52,93,2
4153586,"13","Toronto Centre",1880,"PRIVATE",3,13,75,1
4153595,"13","Toronto Centre",1965,"PRIVATE",19,231,81,1
4153594,"13","Toronto Centre",1967,"PRIVATE",14,279,76,1
4153593,"13","Toronto Centre",1967,"PRIVATE",14,279,77,1
5035608,"10","Spadina-Fort York",2021,"PRIVATE",24,246,99,1
5035611,"10","Spadina-Fort York",2021,"PRIVATE",31,333,98,1
4153917,"12","Toronto-St. Paul's",1918,"PRIVATE",4,13,67,1
4153918,"12","Toronto-St. Paul's",1918,"PRIVATE",3,13,74,1
4153936,"12","Toronto-St. Paul's",1938,"PRIVATE",4,33,81,1
4153933,"12","Toronto-St. Paul's",1959,"PRIVATE",3,29,89,1
4153935,"12","Toronto-St. Paul's",1960,"PRIVATE",5,34,90,1
4153934,"12","Toronto-St. Paul's",1955,"PRIVATE",4,39,78,1
4153938,"12","Toronto-St. Paul's",1955,"PRIVATE",9,44,87,1
4154004,"12","Toronto-St. Paul's",1930,"PRIVATE",3,18,91,1
4154003,"12","Toronto-St. Paul's",1930,"PRIVATE",3,21,89,1
4153877,"12","Toronto-St. Paul's",1955,"PRIVATE",8,80,93,1
4153878,"12","Toronto-St. Paul's",1955,"PRIVATE",4,47,95,1
4153879,"12","Toronto-St. Paul's",1955,"PRIVATE",4,50,94,1
4153106,"09","Davenport",1992,"SOCIAL HOUSING",4,13,46,2
4167685,"13","Toronto Centre",1948,"TCHC",3,48,68,3
4569135,"14","Toronto-Danforth",1956,"PRIVATE",3,11,95,1
4154105,"14","Toronto-Danforth",1955,"PRIVATE",4,34,72,1
4154106,"14","Toronto-Danforth",1950,"PRIVATE",3,26,90,1
4153559,"10","Spadina-Fort York",1982,"TCHC",9,251,91,3
4154969,"12","Toronto-St. Paul's",1960,"PRIVATE",4,27,86,1
4154959,"12","Toronto-St. Paul's",1955,"PRIVATE",3,12,84,1
4154968,"12","Toronto-St. Paul's",1983,"TCHC",7,51,92,3
4154985,"12","Toronto-St. Paul's",1920,"PRIVATE",3,24,92,1
4154974,"12","Toronto-St. Paul's",1929,"SOCIAL HOUSING",4,29,89,2
4154984,"12","Toronto-St. Paul's",1955,"PRIVATE",4,22,76,1
4154975,"12","Toronto-St. Paul's",1955,"PRIVATE",4,16,87,1
4154983,"12","Toronto-St. Paul's",1952,"PRIVATE",4,22,68,1
4154976,"12","Toronto-St. Paul's",1920,"PRIVATE",4,32,92,1
4154977,"12","Toronto-St. Paul's",1955,"PRIVATE",6,42,82,1
4156441,"12","Toronto-St. Paul's",2009,"SOCIAL HOUSING",3,30,82,2
4154979,"12","Toronto-St. Paul's",1930,"PRIVATE",3,46,81,1
5156112,"12","Toronto-St. Paul's",1958,"PRIVATE",4,25,80,1
4154982,"12","Toronto-St. Paul's",1955,"PRIVATE",6,31,95,1
4154980,"12","Toronto-St. Paul's",1927,"PRIVATE",4,24,90,1
4154987,"12","Toronto-St. Paul's",1938,"PRIVATE",4,24,81,1
