"RSN","WARD","WARDNAME","YEAR.BUILT","PROPERTY.TYPE","CONFIRMED.STOREYS","CONFIRMED.UNITS","CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE.CODE"
4156287,"12","Toronto-St. Paul's",1930,"PRIVATE",3,15,85,1
4288472,"13","Toronto Centre",2016,"SOCIAL HOUSING",12,145,98,2
4253901,"14","Toronto-Danforth",1963,"PRIVATE",3,30,94,1
4154111,"14","Toronto-Danforth",1962,"PRIVATE",22,129,97,1
4154131,"14","Toronto-Danforth",1965,"PRIVATE",5,26,92,1
4154130,"14","Toronto-Danforth",1965,"PRIVATE",12,173,97,1
4154112,"14","Toronto-Danforth",1973,"PRIVATE",12,155,91,1
4154113,"14","Toronto-Danforth",1968,"PRIVATE",12,118,93,1
4154129,"14","Toronto-Danforth",1970,"PRIVATE",15,84,98,1
4154114,"14","Toronto-Danforth",1986,"PRIVATE",11,86,81,1
4154128,"14","Toronto-Danforth",1961,"PRIVATE",7,140,98,1
4154115,"14","Toronto-Danforth",1960,"PRIVATE",10,73,95,1
4883232,"14","Toronto-Danforth",1955,"PRIVATE",3,36,94,1
5358292,"14","Toronto-Danforth",1950,"PRIVATE",3,24,79,1
4154103,"14","Toronto-Danforth",1950,"PRIVATE",6,57,86,1
4154087,"14","Toronto-Danforth",1960,"PRIVATE",4,30,97,1
4154102,"14","Toronto-Danforth",1956,"PRIVATE",6,48,89,1
5355436,"14","Toronto-Danforth",1960,"PRIVATE",3,17,81,1
4154088,"14","Toronto-Danforth",1965,"PRIVATE",15,82,96,1
4154089,"14","Toronto-Danforth",1958,"PRIVATE",4,29,93,1
4154101,"14","Toronto-Danforth",1962,"PRIVATE",12,153,93,1
4154090,"14","Toronto-Danforth",1950,"PRIVATE",6,83,83,1
4154091,"14","Toronto-Danforth",1965,"PRIVATE",4,30,96,1
4154092,"14","Toronto-Danforth",1960,"PRIVATE",6,37,88,1
4154095,"14","Toronto-Danforth",1959,"PRIVATE",6,47,89,1
4154096,"14","Toronto-Danforth",1965,"PRIVATE",6,45,85,1
4154093,"14","Toronto-Danforth",1967,"PRIVATE",12,160,86,1
4154097,"14","Toronto-Danforth",1968,"PRIVATE",4,33,92,1
4156380,"14","Toronto-Danforth",1965,"PRIVATE",8,95,89,1
4154098,"14","Toronto-Danforth",1959,"PRIVATE",6,38,98,1
4155750,"14","Toronto-Danforth",2004,"SOCIAL HOUSING",6,32,87,2
4154099,"14","Toronto-Danforth",1955,"PRIVATE",6,40,97,1
4154100,"14","Toronto-Danforth",1927,"PRIVATE",6,40,84,1
4153638,"14","Toronto-Danforth",1989,"SOCIAL HOUSING",4,14,97,2
4153657,"14","Toronto-Danforth",1990,"SOCIAL HOUSING",3,11,99,2
5364517,"14","Toronto-Danforth",1980,"SOCIAL HOUSING",4,91,93,2
4153412,"11","University-Rosedale",1985,"PRIVATE",3,24,62,1
4155803,"10","Spadina-Fort York",2012,"TCHC",41,298,85,3
4153615,"14","Toronto-Danforth",1978,"TCHC",5,131,96,3
4250590,"14","Toronto-Danforth",2002,"SOCIAL HOUSING",3,26,93,2
5364483,"14","Toronto-Danforth",1926,"PRIVATE",3,30,74,1
4153658,"14","Toronto-Danforth",1988,"TCHC",4,109,87,3
5383946,"14","Toronto-Danforth",1950,"PRIVATE",3,12,85,1
4153229,"11","University-Rosedale",1980,"TCHC",16,128,89,3
4257265,"11","University-Rosedale",1969,"PRIVATE",3,26,70,1
4155594,"11","University-Rosedale",1968,"TCHC",25,460,90,3
4156719,"11","University-Rosedale",1900,"PRIVATE",4,17,81,1
4153339,"12","Toronto-St. Paul's",1967,"PRIVATE",5,25,97,1
5361264,"12","Toronto-St. Paul's",1928,"PRIVATE",3,10,89,1
4153337,"12","Toronto-St. Paul's",1992,"SOCIAL HOUSING",4,10,79,2
4153107,"09","Davenport",1978,"TCHC",9,186,88,3
4153766,"12","Toronto-St. Paul's",1956,"PRIVATE",4,14,84,1
4153767,"12","Toronto-St. Paul's",1973,"PRIVATE",21,266,99,1
4171428,"12","Toronto-St. Paul's",1970,"PRIVATE",30,483,92,1
4244917,"12","Toronto-St. Paul's",2017,"PRIVATE",14,179,100,1
